season,date,team,opponent,location,team_score,opp_score,diff
2023,2024-02-20,Wake Forest,Pitt,H,91,58,33
2023,2024-02-24,Wake Forest,Duke,H,83,79,4
2023,2024-03-02,Wake Forest,Virginia Tech,A,76,87,-11
2023,2024-03-05,Wake Forest,Georgia Tech,H,69,70,-1
2023,2024-03-09,Wake Forest,Clemson,H,81,76,5
2023,2024-03-14,Wake Forest,Pitt,N,69,81,-12
2024,2024-12-07,Wake Forest,Boston College,H,72,66,6
2024,2024-12-21,Wake Forest,Clemson,A,62,73,-11
2024,2024-12-31,Wake Forest,Syracuse,A,81,71,10
2024,2025-01-04,Wake Forest,NC State,H,77,59,18
2024,2025-01-11,Wake Forest,Miami,A,88,78,10
2024,2025-01-15,Wake Forest,Stanford,H,80,67,13
2024,2025-01-18,Wake Forest,Virginia Tech,A,72,63,9
2024,2025-01-21,Wake Forest,UNC,H,67,66,1
2024,2025-01-25,Wake Forest,Duke,H,56,63,-7
2024,2025-01-28,Wake Forest,Louisville,A,59,72,-13
2024,2025-02-01,Wake Forest,Pitt,H,76,74,2
2024,2025-02-05,Wake Forest,Stanford,A,79,73,6
2024,2025-02-12,Wake Forest,Florida State,H,70,72,-2
2024,2025-02-15,Wake Forest,SMU,A,77,66,11
2024,2025-02-22,Wake Forest,NC State,A,73,85,-12
2024,2025-02-26,Wake Forest,UVA,H,75,83,-8
2024,2025-03-03,Wake Forest,Duke,A,60,93,-33
2024,2025-03-08,Wake Forest,Georgia Tech,H,69,43,26
2024,2025-03-13,Wake Forest,UNC,N,59,68,-9
2025,2025-12-31,Wake Forest,NC State,A,57,70,-13
2025,2026-01-03,Wake Forest,Virginia Tech,H,81,78,3
2025,2026-01-07,Wake Forest,Miami,H,77,81,-4
2025,2026-01-10,Wake Forest,UNC,A,84,87,-3
2025,2026-01-17,Wake Forest,Florida State,A,69,68,1
2025,2026-01-20,Wake Forest,SMU,H,79,91,-12
2025,2026-01-24,Wake Forest,Duke,A,69,90,-21
2025,2026-01-27,Wake Forest,Pitt,A,76,80,-4
2025,2026-01-31,Wake Forest,NC State,H,78,96,-18
2020,2020-12-12,Boston College,Syracuse,H,63,101,-38
2020,2020-12-30,Boston College,NC State,A,76,79,-3
2020,2021-01-02,Boston College,Louisville,H,64,76,-12
2020,2021-01-06,Boston College,Duke,A,82,83,-1
2020,2021-01-09,Boston College,UVA,H,49,61,-12
2020,2021-01-12,Boston College,Miami,H,84,62,22
2020,2021-02-06,Boston College,NC State,H,65,81,-16
2020,2021-02-10,Boston College,Wake Forest,H,65,69,-4
2020,2021-02-13,Boston College,Syracuse,A,67,75,-8
2020,2021-03-03,Boston College,Florida State,A,64,93,-29
2020,2021-03-05,Boston College,Miami,A,76,80,-4
2020,2021-03-09,Boston College,Duke,N,51,86,-35
2021,2022-01-02,Boston College,UNC,H,65,91,-26
2021,2022-01-08,Boston College,Pitt,A,67,69,-2
2021,2022-01-12,Boston College,Georgia Tech,H,76,81,-5
2021,2022-01-15,Boston College,Clemson,A,70,68,2
2021,2022-01-19,Boston College,Louisville,A,54,67,-13
2021,2022-01-22,Boston College,Virginia Tech,H,68,63,5
2021,2022-01-24,Boston College,Wake Forest,A,57,87,-30
2021,2022-01-26,Boston College,UNC,A,47,58,-11
2021,2022-01-30,Boston College,Pitt,H,69,56,13
2021,2022-02-01,Boston College,UVA,A,55,67,-12
2021,2022-02-08,Boston College,Syracuse,H,64,73,-9
2021,2022-02-12,Boston College,Duke,H,61,72,-11
2021,2022-02-19,Boston College,Syracuse,A,56,76,-20
2021,2022-02-21,Boston College,Florida State,H,71,55,16
2021,2022-02-23,Boston College,NC State,A,69,61,8
2021,2022-02-26,Boston College,Clemson,H,60,70,-10
2021,2022-03-02,Boston College,Miami,H,70,81,-11
2021,2022-03-05,Boston College,Georgia Tech,A,78,82,-4
2021,2022-03-08,Boston College,Pitt,N,66,46,20
2021,2022-03-09,Boston College,Wake Forest,N,82,77,5
2021,2022-03-10,Boston College,Miami,N,69,71,-2
2022,2022-12-03,Boston College,Duke,A,59,75,-16
2022,2022-12-21,Boston College,Virginia Tech,H,70,65,5
2022,2022-12-31,Boston College,Syracuse,A,65,79,-14
2022,2023-01-07,Boston College,Duke,H,64,65,-1
2022,2023-01-11,Boston College,Miami,A,72,88,-16
2022,2023-01-14,Boston College,Wake Forest,H,63,85,-22
2022,2023-01-17,Boston College,UNC,A,64,72,-8
2022,2023-01-25,Boston College,Louisville,H,75,65,10
2022,2023-01-28,Boston College,UVA,A,57,76,-19
2022,2023-01-31,Boston College,Clemson,H,62,54,8
2022,2023-02-04,Boston College,Syracuse,H,68,77,-9
2022,2023-02-08,Boston College,Virginia Tech,A,82,76,6
2022,2023-02-11,Boston College,NC State,H,62,92,-30
2022,2023-02-14,Boston College,Pitt,A,58,77,-19
2022,2023-02-18,Boston College,Florida State,A,75,69,6
2022,2023-02-22,Boston College,UVA,H,63,48,15
2022,2023-02-28,Boston College,Wake Forest,A,71,69,2
2022,2023-03-04,Boston College,Georgia Tech,H,65,73,-8
2022,2023-03-07,Boston College,Louisville,N,80,62,18
2022,2023-03-08,Boston College,UNC,N,61,85,-24
2023,2023-12-02,Boston College,NC State,H,78,84,-6
2023,2024-01-02,Boston College,Wake Forest,H,78,84,-6
2023,2024-01-06,Boston College,Georgia Tech,A,95,87,8
2023,2024-01-10,Boston College,Syracuse,A,59,69,-10
2023,2024-01-13,Boston College,Clemson,A,78,89,-11
2023,2024-01-20,Boston College,UNC,H,66,76,-10
2023,2024-01-23,Boston College,Virginia Tech,A,71,76,-5
2023,2024-01-30,Boston College,Syracuse,H,80,75,5
2023,2024-02-06,Boston College,Florida State,H,62,63,-1
2023,2024-02-10,Boston College,Duke,A,65,80,-15
2023,2024-02-13,Boston College,Louisville,H,89,77,12
2023,2024-02-17,Boston College,Miami,H,85,77,8
2023,2024-02-20,Boston College,Florida State,A,76,84,-8
2023,2024-02-24,Boston College,NC State,A,70,81,-11
2023,2024-02-28,Boston College,UVA,H,68,72,-4
2023,2024-03-02,Boston College,Pitt,H,65,90,-25
2023,2024-03-06,Boston College,Miami,A,67,57,10
2023,2024-03-09,Boston College,Louisville,A,67,61,6
2023,2024-03-12,Boston College,Miami,N,81,65,16
2023,2024-03-13,Boston College,Clemson,N,76,55,21
2023,2024-03-14,Boston College,UVA,N,60,66,-6
2024,2024-12-07,Boston College,Wake Forest,A,66,72,-6
2024,2024-12-21,Boston College,SMU,H,77,103,-26
2024,2025-01-01,Boston College,Miami,H,78,68,10
2024,2025-01-04,Boston College,Georgia Tech,A,64,85,-21
2024,2025-01-11,Boston College,Syracuse,H,71,79,-8
2024,2025-01-18,Boston College,Duke,H,63,88,-25
2024,2025-01-21,Boston College,UVA,A,56,74,-18
2024,2025-01-25,Boston College,UNC,A,96,102,-6
2024,2025-02-01,Boston College,Florida State,H,77,76,1
2024,2025-02-05,Boston College,Louisville,H,58,84,-26
2024,2025-02-08,Boston College,Syracuse,A,86,95,-9
2024,2025-02-15,Boston College,NC State,A,62,70,-8
2024,2025-02-18,Boston College,Virginia Tech,H,54,36,18
2024,2025-02-22,Boston College,Georgia Tech,H,69,54,15
2024,2025-02-26,Boston College,Stanford,A,60,78,-18
2024,2025-03-05,Boston College,Clemson,H,69,78,-9
2024,2025-03-08,Boston College,Pitt,A,67,93,-26
2025,2026-01-03,Boston College,Georgia Tech,A,53,65,-12
2025,2026-01-06,Boston College,NC State,H,71,79,-8
2025,2026-01-10,Boston College,Louisville,A,62,75,-13
2025,2026-01-13,Boston College,Clemson,A,50,74,-24
2025,2026-01-17,Boston College,Syracuse,H,81,73,8
2025,2026-01-21,Boston College,Pitt,H,65,62,3
2025,2026-01-31,Boston College,UVA,H,66,73,-7
2025,2026-02-03,Boston College,Duke,A,49,67,-18
2020,2020-12-15,Georgia Tech,Florida State,A,61,74,-13
2020,2020-12-30,Georgia Tech,UNC,H,72,67,5
2020,2021-01-03,Georgia Tech,Wake Forest,H,70,54,16
2020,2021-01-20,Georgia Tech,Clemson,H,83,65,18
2020,2021-01-23,Georgia Tech,UVA,A,62,64,-2
2020,2021-01-26,Georgia Tech,Duke,A,68,75,-7
2020,2021-01-30,Georgia Tech,Florida State,H,76,65,11
2020,2021-02-01,Georgia Tech,Louisville,A,58,74,-16
2020,2021-02-10,Georgia Tech,UVA,H,49,57,-8
2020,2021-02-12,Georgia Tech,Clemson,A,72,74,-2
2020,2021-02-14,Georgia Tech,Pitt,H,71,65,6
2020,2021-02-20,Georgia Tech,Miami,A,87,60,27
2020,2021-02-23,Georgia Tech,Virginia Tech,A,69,53,16
2020,2021-02-27,Georgia Tech,Syracuse,H,84,77,7
2020,2021-03-02,Georgia Tech,Duke,H,81,77,4
2020,2021-03-05,Georgia Tech,Wake Forest,A,75,63,12
2020,2021-03-11,Georgia Tech,Miami,N,70,66,4
2020,2021-03-12,Georgia Tech,UVA,N,80,75,5
2020,2021-03-13,Georgia Tech,Florida State,N,71,60,11
2021,2021-12-05,Georgia Tech,UNC,H,62,79,-17
2021,2022-01-02,Georgia Tech,Louisville,H,64,67,-3
2021,2022-01-04,Georgia Tech,Duke,A,57,69,-12
2021,2022-01-12,Georgia Tech,Boston College,A,81,76,5
2021,2022-01-15,Georgia Tech,UNC,A,65,88,-23
2021,2022-01-19,Georgia Tech,Wake Forest,H,64,80,-16
2021,2022-01-26,Georgia Tech,Florida State,H,75,61,14
2021,2022-01-29,Georgia Tech,Miami,H,62,73,-11
2021,2022-02-02,Georgia Tech,Virginia Tech,A,66,81,-15
2021,2022-02-05,Georgia Tech,Clemson,H,69,64,5
2021,2022-02-09,Georgia Tech,Miami,A,70,79,-9
2021,2022-02-12,Georgia Tech,UVA,A,53,63,-10
2021,2022-02-15,Georgia Tech,NC State,H,61,76,-15
2021,2022-02-19,Georgia Tech,Pitt,A,68,62,6
2021,2022-02-21,Georgia Tech,Syracuse,A,73,74,-1
2021,2022-02-23,Georgia Tech,Virginia Tech,H,58,62,-4
2021,2022-03-02,Georgia Tech,Clemson,A,65,68,-3
2021,2022-03-05,Georgia Tech,Boston College,H,82,78,4
2021,2022-03-08,Georgia Tech,Louisville,N,74,84,-10
2022,2022-12-10,Georgia Tech,UNC,A,59,75,-16
2022,2022-12-21,Georgia Tech,Clemson,H,66,79,-13
2022,2022-12-31,Georgia Tech,UVA,H,56,74,-18
2022,2023-01-04,Georgia Tech,Miami,H,76,70,6
2022,2023-01-07,Georgia Tech,Florida State,A,64,75,-11
2022,2023-01-14,Georgia Tech,Pitt,H,60,71,-11
2022,2023-01-17,Georgia Tech,NC State,H,66,78,-12
2022,2023-01-21,Georgia Tech,Syracuse,H,63,80,-17
2022,2023-01-24,Georgia Tech,Clemson,A,51,72,-21
2022,2023-01-28,Georgia Tech,Duke,H,43,86,-43
2022,2023-02-01,Georgia Tech,Louisville,A,58,68,-10
2022,2023-02-04,Georgia Tech,NC State,A,64,72,-8
2022,2023-02-11,Georgia Tech,Wake Forest,A,70,71,-1
2022,2023-02-15,Georgia Tech,Virginia Tech,H,77,70,7
2022,2023-02-21,Georgia Tech,Pitt,A,68,76,-8
2022,2023-02-25,Georgia Tech,Louisville,H,83,67,16
2022,2023-02-28,Georgia Tech,Syracuse,A,96,76,20
2022,2023-03-04,Georgia Tech,Boston College,A,73,65,8
2022,2023-03-07,Georgia Tech,Florida State,N,61,60,1
2022,2023-03-08,Georgia Tech,Pitt,N,81,89,-8
2023,2023-12-02,Georgia Tech,Duke,H,72,68,4
2023,2024-01-03,Georgia Tech,Florida State,A,71,82,-11
2023,2024-01-06,Georgia Tech,Boston College,H,87,95,-8
2023,2024-01-13,Georgia Tech,Duke,A,79,84,-5
2023,2024-01-16,Georgia Tech,Clemson,A,93,90,3
2023,2024-01-20,Georgia Tech,UVA,H,66,75,-9
2023,2024-01-23,Georgia Tech,Pitt,H,64,72,-8
2023,2024-01-27,Georgia Tech,Virginia Tech,A,67,91,-24
2023,2024-01-30,Georgia Tech,UNC,H,74,73,1
2023,2024-02-03,Georgia Tech,NC State,A,76,82,-6
2023,2024-02-06,Georgia Tech,Wake Forest,H,51,80,-29
2023,2024-02-10,Georgia Tech,Louisville,A,67,79,-12
2023,2024-02-17,Georgia Tech,Syracuse,H,65,60,5
2023,2024-02-21,Georgia Tech,Clemson,H,57,81,-24
2023,2024-02-24,Georgia Tech,Miami,A,80,76,4
2023,2024-03-02,Georgia Tech,Florida State,H,85,76,9
2023,2024-03-05,Georgia Tech,Wake Forest,A,70,69,1
2023,2024-03-09,Georgia Tech,UVA,A,57,72,-15
2024,2024-12-07,Georgia Tech,UNC,A,65,68,-3
2024,2024-12-21,Georgia Tech,Duke,H,56,82,-26
2024,2025-01-04,Georgia Tech,Boston College,H,85,64,21
2024,2025-01-07,Georgia Tech,Syracuse,A,55,62,-7
2024,2025-01-11,Georgia Tech,SMU,A,71,93,-22
2024,2025-01-14,Georgia Tech,Clemson,H,59,70,-11
2024,2025-01-18,Georgia Tech,Florida State,A,78,91,-13
2024,2025-01-22,Georgia Tech,Virginia Tech,H,71,64,7
2024,2025-02-01,Georgia Tech,Louisville,H,77,70,7
2024,2025-02-04,Georgia Tech,Clemson,A,89,86,3
2024,2025-02-08,Georgia Tech,UVA,A,61,75,-14
2024,2025-02-12,Georgia Tech,Stanford,H,60,52,8
2024,2025-02-22,Georgia Tech,Boston College,A,54,69,-15
2024,2025-02-25,Georgia Tech,Pitt,A,73,67,6
2024,2025-03-01,Georgia Tech,NC State,H,87,62,25
2024,2025-03-04,Georgia Tech,Miami,H,89,74,15
2024,2025-03-08,Georgia Tech,Wake Forest,A,43,69,-26
2024,2025-03-12,Georgia Tech,UVA,N,66,60,6
2024,2025-03-13,Georgia Tech,Duke,N,70,78,-8
2025,2025-12-31,Georgia Tech,Duke,A,79,85,-6
2025,2026-01-03,Georgia Tech,Boston College,H,65,53,12
2025,2026-01-06,Georgia Tech,Syracuse,H,72,82,-10
2025,2026-01-10,Georgia Tech,Miami,A,81,91,-10
2025,2026-01-14,Georgia Tech,Pitt,H,66,89,-23
2025,2026-01-17,Georgia Tech,NC State,A,78,74,4
2025,2026-01-24,Georgia Tech,Clemson,H,63,77,-14
2025,2026-01-27,Georgia Tech,Virginia Tech,A,65,71,-6
2025,2026-01-31,Georgia Tech,UNC,H,75,91,-16
2020,2020-12-16,Miami,Pitt,H,55,70,-15
2020,2020-12-29,Miami,Virginia Tech,A,78,80,-2
2020,2021-01-02,Miami,Clemson,H,65,66,-1
2020,2021-01-05,Miami,UNC,H,65,67,-2
2020,2021-01-09,Miami,NC State,A,64,59,5
2020,2021-01-12,Miami,Boston College,A,62,84,-22
2020,2021-01-16,Miami,Louisville,H,78,72,6
2020,2021-01-19,Miami,Syracuse,A,57,83,-26
2020,2021-01-27,Miami,Florida State,A,59,81,-22
2020,2021-01-30,Miami,Wake Forest,A,54,66,-12
2020,2021-02-01,Miami,Duke,H,77,75,2
2020,2021-02-06,Miami,Virginia Tech,H,76,80,-4
2020,2021-02-20,Miami,Georgia Tech,H,60,87,-27
2020,2021-02-24,Miami,Florida State,H,71,88,-17
2020,2021-02-27,Miami,Clemson,A,58,66,-8
2020,2021-03-01,Miami,UVA,A,51,62,-11
2020,2021-03-05,Miami,Boston College,H,80,76,4
2020,2021-03-09,Miami,Pitt,N,79,73,6
2020,2021-03-10,Miami,Clemson,N,67,64,3
2020,2021-03-11,Miami,Georgia Tech,N,66,70,-4
2021,2021-12-04,Miami,Clemson,H,80,75,5
2021,2021-12-29,Miami,NC State,H,91,83,8
2021,2022-01-01,Miami,Wake Forest,H,92,84,8
2021,2022-01-05,Miami,Syracuse,H,88,87,1
2021,2022-01-08,Miami,Duke,A,76,74,2
2021,2022-01-11,Miami,Florida State,A,64,65,-1
2021,2022-01-18,Miami,UNC,H,85,57,28
2021,2022-01-22,Miami,Florida State,H,60,61,-1
2021,2022-01-26,Miami,Virginia Tech,A,78,75,3
2021,2022-01-29,Miami,Georgia Tech,A,73,62,11
2021,2022-02-05,Miami,UVA,A,58,71,-13
2021,2022-02-09,Miami,Georgia Tech,H,79,70,9
2021,2022-02-12,Miami,Wake Forest,A,76,72,4
2021,2022-02-16,Miami,Louisville,A,70,63,7
2021,2022-02-19,Miami,UVA,H,71,74,-3
2021,2022-02-22,Miami,Pitt,A,85,64,21
2021,2022-02-26,Miami,Virginia Tech,H,70,71,-1
2021,2022-03-02,Miami,Boston College,A,81,70,11
2021,2022-03-05,Miami,Syracuse,A,75,72,3
2021,2022-03-10,Miami,Boston College,N,71,69,2
2021,2022-03-11,Miami,Duke,N,76,80,-4
2022,2022-12-04,Miami,Louisville,A,80,53,27
2022,2022-12-10,Miami,NC State,H,80,73,7
2022,2022-12-20,Miami,UVA,H,66,64,2
2022,2023-01-04,Miami,Georgia Tech,A,70,76,-6
2022,2023-01-11,Miami,Boston College,H,88,72,16
2022,2023-01-14,Miami,NC State,A,81,83,-2
2022,2023-01-16,Miami,Syracuse,H,82,78,4
2022,2023-01-21,Miami,Duke,A,66,68,-2
2022,2023-01-24,Miami,Florida State,A,86,63,23
2022,2023-01-28,Miami,Pitt,A,68,71,-3
2022,2023-01-31,Miami,Virginia Tech,H,92,83,9
2022,2023-02-04,Miami,Clemson,A,78,74,4
2022,2023-02-06,Miami,Duke,H,81,59,22
2022,2023-02-11,Miami,Louisville,H,93,85,8
2022,2023-02-13,Miami,UNC,A,80,72,8
2022,2023-02-18,Miami,Wake Forest,H,96,87,9
2022,2023-02-21,Miami,Virginia Tech,A,76,70,6
2022,2023-02-25,Miami,Florida State,H,84,85,-1
2022,2023-03-04,Miami,Pitt,H,78,76,2
2022,2023-03-09,Miami,Wake Forest,N,74,72,2
2022,2023-03-10,Miami,Duke,N,78,85,-7
2023,2024-01-03,Miami,Clemson,H,95,82,13
2023,2024-01-06,Miami,Wake Forest,A,82,86,-4
2023,2024-01-10,Miami,Louisville,H,71,80,-9
2023,2024-01-13,Miami,Virginia Tech,A,75,71,4
2023,2024-01-17,Miami,Florida State,H,75,84,-9
2023,2024-01-20,Miami,Syracuse,A,69,72,-3
2023,2024-01-27,Miami,Pitt,H,72,68,4
2023,2024-01-30,Miami,NC State,A,68,74,-6
2023,2024-02-03,Miami,Virginia Tech,H,82,74,8
2023,2024-02-05,Miami,UVA,A,38,60,-22
2023,2024-02-10,Miami,UNC,H,72,75,-3
2023,2024-02-14,Miami,Clemson,A,60,77,-17
2023,2024-02-17,Miami,Boston College,A,77,85,-8
2023,2024-02-21,Miami,Duke,H,55,84,-29
2023,2024-02-24,Miami,Georgia Tech,H,76,80,-4
2023,2024-02-26,Miami,UNC,A,71,75,-4
2023,2024-03-06,Miami,Boston College,H,57,67,-10
2023,2024-03-09,Miami,Florida State,A,75,83,-8
2023,2024-03-12,Miami,Boston College,N,65,81,-16
2024,2024-12-07,Miami,Clemson,H,55,65,-10
2024,2025-01-01,Miami,Boston College,A,68,78,-10
2024,2025-01-04,Miami,Virginia Tech,A,85,86,-1
2024,2025-01-08,Miami,Florida State,H,65,80,-15
2024,2025-01-11,Miami,Wake Forest,H,78,88,-10
2024,2025-01-14,Miami,Duke,A,54,89,-35
2024,2025-01-18,Miami,SMU,H,74,117,-43
2024,2025-01-22,Miami,Stanford,A,51,88,-37
2024,2025-01-29,Miami,UVA,H,71,82,-11
2024,2025-02-08,Miami,Louisville,A,78,88,-10
2024,2025-02-11,Miami,Syracuse,H,91,84,7
2024,2025-02-15,Miami,Pitt,A,65,74,-9
2024,2025-02-19,Miami,Florida State,A,66,74,-8
2024,2025-02-22,Miami,Virginia Tech,H,68,81,-13
2024,2025-02-25,Miami,Duke,H,60,97,-37
2024,2025-03-01,Miami,UNC,A,73,92,-19
2024,2025-03-04,Miami,Georgia Tech,A,74,89,-15
2024,2025-03-08,Miami,NC State,H,72,70,2
2025,2025-12-30,Miami,Pitt,H,76,69,7
2025,2026-01-07,Miami,Wake Forest,A,81,77,4
2025,2026-01-10,Miami,Georgia Tech,H,91,81,10
2025,2026-01-17,Miami,Clemson,A,59,69,-10
2025,2026-01-20,Miami,Florida State,H,63,65,-2
2025,2026-01-24,Miami,Syracuse,A,85,76,9
2025,2026-01-28,Miami,Stanford,H,79,70,9
2023,2023-12-16,SMU,Florida State,A,68,57,11
2024,2024-12-07,SMU,UVA,H,63,51,12
2024,2024-12-21,SMU,Boston College,A,103,77,26
2024,2025-01-04,SMU,Duke,H,62,89,-27
2024,2025-01-07,SMU,UNC,A,67,82,-15
2024,2025-01-11,SMU,Georgia Tech,H,93,71,22
2024,2025-01-15,SMU,UVA,A,54,52,2
2024,2025-01-18,SMU,Miami,A,117,74,43
2024,2025-01-21,SMU,Louisville,H,73,98,-25
2024,2025-01-25,SMU,NC State,A,63,57,6
2024,2025-02-01,SMU,Stanford,H,85,61,24
2024,2025-02-05,SMU,Virginia Tech,A,81,75,6
2024,2025-02-11,SMU,Pitt,H,83,63,20
2024,2025-02-15,SMU,Wake Forest,H,66,77,-11
2024,2025-02-22,SMU,Clemson,H,69,79,-10
2024,2025-03-01,SMU,Stanford,A,68,73,-5
2024,2025-03-04,SMU,Syracuse,H,77,75,2
2024,2025-03-08,SMU,Florida State,A,69,76,-7
2024,2025-03-12,SMU,Syracuse,N,73,53,20
2024,2025-03-13,SMU,Clemson,N,54,57,-3
2025,2026-01-03,SMU,UNC,H,97,83,14
2025,2026-01-07,SMU,Clemson,A,70,74,-4
2025,2026-01-10,SMU,Duke,A,75,82,-7
2025,2026-01-14,SMU,Virginia Tech,H,77,76,1
2025,2026-01-17,SMU,UVA,H,68,72,-4
2025,2026-01-20,SMU,Wake Forest,A,91,79,12
2025,2026-01-24,SMU,Florida State,H,83,80,3
2025,2026-01-31,SMU,Louisville,A,74,88,-14
2025,2026-02-03,SMU,NC State,H,83,84,-1
2020,2021-02-04,Cal,Stanford,H,55,70,-15
2020,2021-02-07,Cal,Stanford,A,70,76,-6
2020,2021-03-10,Cal,Stanford,N,76,58,18
2021,2022-02-01,Cal,Stanford,A,50,57,-7
2021,2022-02-26,Cal,Stanford,H,53,39,14
2022,2022-11-26,Cal,Clemson,N,59,67,-8
2022,2023-01-06,Cal,Stanford,H,92,70,22
2022,2023-01-28,Cal,Stanford,A,46,75,-29
2023,2024-01-26,Cal,Stanford,H,73,71,2
2023,2024-03-07,Cal,Stanford,A,58,80,-22
2023,2024-03-13,Cal,Stanford,N,76,87,-11
2024,2024-12-07,Cal,Stanford,H,81,89,-8
2024,2025-01-01,Cal,Pitt,A,74,86,-12
2024,2025-01-04,Cal,Clemson,A,68,80,-12
2024,2025-01-08,Cal,UVA,H,75,61,14
2024,2025-01-11,Cal,Virginia Tech,H,68,71,-3
2024,2025-01-15,Cal,UNC,A,53,79,-26
2024,2025-01-18,Cal,NC State,A,65,62,3
2024,2025-01-22,Cal,Florida State,H,77,68,9
2024,2025-01-25,Cal,Miami,H,98,94,4
2024,2025-01-29,Cal,SMU,A,65,76,-11
2024,2025-02-01,Cal,Syracuse,H,66,75,-9
2024,2025-02-05,Cal,NC State,H,74,62,12
2024,2025-02-08,Cal,Wake Forest,H,66,76,-10
2024,2025-02-12,Cal,Duke,A,57,78,-21
2024,2025-02-15,Cal,Georgia Tech,A,88,90,-2
2024,2025-02-22,Cal,Stanford,A,61,66,-5
2024,2025-02-26,Cal,SMU,H,77,81,-4
2024,2025-03-01,Cal,Boston College,H,82,71,11
2024,2025-03-05,Cal,Louisville,A,68,85,-17
2024,2025-03-11,Cal,Virginia Tech,N,82,73,9
2024,2025-03-12,Cal,Stanford,N,73,78,-5
2025,2025-12-30,Cal,Louisville,H,70,90,-20
2025,2026-01-07,Cal,UVA,A,60,84,-24
2025,2026-01-10,Cal,Virginia Tech,A,75,78,-3
2025,2026-01-14,Cal,Duke,H,56,71,-15
2025,2026-01-17,Cal,UNC,H,84,78,6
2025,2026-01-24,Cal,Stanford,A,78,66,12
2025,2026-01-28,Cal,Florida State,A,61,63,-2
2025,2026-01-31,Cal,Miami,A,86,85,1
2025,2026-02-04,Cal,Georgia Tech,H,90,85,5
2020,2020-12-01,Stanford,UNC,N,63,67,-4
2022,2022-11-25,Stanford,Florida State,N,70,60,10
2024,2025-01-01,Stanford,Clemson,A,71,85,-14
2024,2025-01-04,Stanford,Pitt,A,68,83,-15
2024,2025-01-08,Stanford,Virginia Tech,H,70,59,11
2024,2025-01-11,Stanford,UVA,H,88,65,23
2024,2025-01-15,Stanford,Wake Forest,A,67,80,-13
2024,2025-01-18,Stanford,UNC,A,72,71,1
2024,2025-01-22,Stanford,Miami,H,88,51,37
2024,2025-01-25,Stanford,Florida State,H,78,71,7
2024,2025-01-29,Stanford,Syracuse,H,70,61,9
2024,2025-02-01,Stanford,SMU,A,61,85,-24
2024,2025-02-05,Stanford,Wake Forest,H,73,79,-6
2024,2025-02-08,Stanford,NC State,H,74,73,1
2024,2025-02-12,Stanford,Georgia Tech,A,52,60,-8
2024,2025-02-15,Stanford,Duke,A,70,106,-36
2024,2025-02-26,Stanford,Boston College,H,78,60,18
2024,2025-03-01,Stanford,SMU,H,73,68,5
2024,2025-03-08,Stanford,Louisville,A,48,68,-20
2024,2025-03-13,Stanford,Louisville,N,73,75,-2
2025,2026-01-02,Stanford,Louisville,H,80,76,4
2025,2026-01-07,Stanford,Virginia Tech,A,69,68,1
2025,2026-01-10,Stanford,UVA,A,55,70,-15
2025,2026-01-14,Stanford,UNC,H,95,90,5
2025,2026-01-17,Stanford,Duke,H,50,80,-30
2025,2026-01-28,Stanford,Miami,A,70,79,-9
2025,2026-01-31,Stanford,Florida State,A,80,88,-8
2025,2026-02-04,Stanford,Clemson,H,64,66,-2
2020,2020-12-22,Louisville,Pitt,A,64,54,10
2020,2021-01-02,Louisville,Boston College,A,76,64,12
2020,2021-01-06,Louisville,Virginia Tech,H,73,71,2
2020,2021-01-13,Louisville,Wake Forest,A,77,65,12
2020,2021-01-16,Louisville,Miami,A,72,78,-6
2020,2021-01-18,Louisville,Florida State,H,65,78,-13
2020,2021-01-23,Louisville,Duke,H,70,65,5
2020,2021-01-27,Louisville,Clemson,A,50,54,-4
2020,2021-02-01,Louisville,Georgia Tech,H,74,58,16
2020,2021-02-20,Louisville,UNC,A,54,99,-45
2020,2021-02-27,Louisville,Duke,A,80,73,7
2020,2021-03-06,Louisville,UVA,H,58,68,-10
2020,2021-03-10,Louisville,Duke,N,56,70,-14
2021,2021-12-04,Louisville,NC State,A,73,68,5
2021,2021-12-29,Louisville,Wake Forest,H,73,69,4
2021,2022-01-02,Louisville,Georgia Tech,A,67,64,3
2021,2022-01-05,Louisville,Pitt,H,75,72,3
2021,2022-01-08,Louisville,Florida State,A,70,79,-9
2021,2022-01-12,Louisville,NC State,H,63,79,-16
2021,2022-01-15,Louisville,Pitt,A,53,65,-12
2021,2022-01-19,Louisville,Boston College,H,67,54,13
2021,2022-01-24,Louisville,UVA,A,52,64,-12
2021,2022-01-29,Louisville,Duke,H,65,74,-9
2021,2022-02-01,Louisville,UNC,H,83,90,-7
2021,2022-02-05,Louisville,Syracuse,A,69,92,-23
2021,2022-02-16,Louisville,Miami,H,63,70,-7
2021,2022-02-19,Louisville,Clemson,H,70,61,9
2021,2022-02-21,Louisville,UNC,A,63,70,-7
2021,2022-02-26,Louisville,Wake Forest,A,77,99,-22
2021,2022-03-01,Louisville,Virginia Tech,A,43,75,-32
2021,2022-03-05,Louisville,UVA,H,61,71,-10
2021,2022-03-08,Louisville,Georgia Tech,N,84,74,10
2021,2022-03-09,Louisville,UVA,N,50,51,-1
2022,2022-12-04,Louisville,Miami,H,53,80,-27
2022,2022-12-10,Louisville,Florida State,A,53,75,-22
2022,2022-12-22,Louisville,NC State,A,64,76,-12
2022,2023-01-03,Louisville,Syracuse,H,69,70,-1
